,,,,,,,,,,,,,,
Section Size,Dimensions,,,,,,,,,Properties,,,,
,d (in),bt (in),Weight,tt (in),Sx,tw (in),r (in),Sy,rx,A (in2),ry,Iyp (in4),Izp (in4),"Plastic
Mod Zp (in3)"
W40x466,42.44,12.64,465.8,2.95,1710.65033,1.67,1.175,159.8101266,16.27769958,137,2.715191112,1010,36300,2050
W40x321,40.2,15.9,324.02,1.81,1273.631841,1,1.18,153.4591195,16.38979541,95.3,3.577943391,1220,25600,1460
W40x174,38.2,15.75,173.74,0.83,638.7434555,0.65,1.18,68.6984127,15.45145798,51.1,3.253779979,541,12200,715
W36x848,42.45,18.13,846.6,4.53,3175.500589,2.52,0.95,501.9305019,16.45243845,249,4.274703776,4550,67400,3830
W36x798,41.97,17.99,795.6,4.29,2983.083155,2.38,0.95,466.92607,16.35608044,234,4.236592729,4200,62600,3570
W36x650,40.47,17.575,646,3.54,2416.604893,1.97,0.95,367.5675676,16.04270616,190,4.123105626,3230,48900,2840
W36x527,39.21,17.22,523.6,2.91,1953.58327,1.61,0.95,289.1986063,15.77026629,154,4.021048516,2490,38300,2270
W36x439,38.26,16.965,435.2,2.44,1620.491375,1.36,0.95,234.6006484,15.5623745,128,3.942952574,1990,31000,1860
W36x393,37.8,16.83,391,2.2,1455.026455,1.22,0.95,207.9619727,15.46384282,115,3.900947488,1750,27500,1660
W36x359,37.4,16.73,357,2.01,1326.203209,1.12,0.95,187.6867902,15.36848972,105,3.866830867,1570,24800,1510
W36x328,37.09,16.63,327.76,1.85,1213.265031,1.02,0.95,170.7757066,15.27751582,96.4,3.838006052,1420,22500,1380
W36x300,36.74,16.655,300.22,1.68,1105.062602,0.945,0.95,156.1092765,15.16239014,88.3,3.836995805,1300,20300,1260
W36x280,36.52,16.595,280.16,1.57,1035.049288,0.885,0.95,144.6218741,15.1449309,82.4,3.816163885,1200,18900,1170
W36x260,36.26,16.55,260.1,1.44,954.2195256,0.84,0.95,131.7220544,15.03807803,76.5,3.774700785,1090,17300,1080
W36x245,36.08,16.51,245.14,1.35,892.4611973,0.8,0.95,122.3500909,14.94325838,72.1,3.742769266,1010,16100,1010
W36x230,35.9,16.47,229.84,1.26,835.6545961,0.76,0.75,114.1469338,14.89608979,67.6,3.728984506,940,15000,943
W30x477,34.21,15.865,476,2.95,1525.869629,1.63,0.79,248.3454144,13.65388485,140,3.751190287,1970,26100,1790
W27x448,31.42,14.94,445.4,2.99,1298.535964,1.65,0.79,223.5609103,12.47898998,131,3.570446975,1670,20400,1530
W24x492,29.65,14.115,489.6,3.54,1288.36425,1.97,0.5,236.627701,11.5168958,144,3.405469457,1670,19100,1550
W24x408,28.54,13.8,404.6,2.99,1058.16398,1.65,0.5,191.3043478,11.26457972,119,3.330531035,1320,15100,1250
W44x335,44,15.9,334.9,1.77,1413.636364,1.03,0.79,150.9433962,17.76896285,98.5,3.490378363,1200,31100,1620
W44x290,43.6,15.8,290.36,1.58,1238.53211,0.865,0.78,131.6455696,17.78086754,85.4,3.489697114,1040,27000,1410
W44x262,43.3,15.8,262.48,1.42,1113.163972,0.785,0.78,116.835443,17.66850774,77.2,3.457738936,923,24100,1270
W44x230,42.9,15.8,230.52,1.22,969.6969697,0.71,0.79,100.7594937,17.51526936,67.8,3.426428604,796,20800,1100
W40x655,43.6,16.9,656.2,3.54,2591.743119,1.97,1.18,339.6449704,17.10982507,193,3.856224361,2870,56500,3080
W40x593,43,16.7,591.6,3.23,2344.186047,1.79,1.18,301.7964072,17.01925887,174,3.805621976,2520,50400,2760
W40x503,42.1,16.4,503.2,2.76,1976.247031,1.54,1.18,248.7804878,16.76547289,148,3.712651853,2040,41600,2320
W40x431,41.3,16.2,431.8,2.36,1685.230024,1.34,1.18,208.6419753,16.55342104,127,3.647887966,1690,34800,1960
W40x397,41,16.1,397.8,2.2,1560.97561,1.22,1.18,191.3043478,16.53796461,117,3.628001263,1540,32000,1800
W40x372,40.6,16.1,374,2.05,1458.128079,1.16,1.18,176.3975155,16.40399065,110,3.592922336,1420,29600,1680
W40x362,40.6,16,360.4,2.01,1423.64532,1.12,1.18,172.5,16.51185966,106,3.608166837,1380,28900,1640
W40x324,40.2,15.9,324.02,1.81,1273.631841,1,1.18,153.4591195,16.38979541,95.3,3.577943391,1220,25600,1460
W40x297,39.8,15.8,296.82,1.65,1165.829146,0.93,1.18,137.9746835,16.30184917,87.3,3.533508392,1090,23200,1330
W40x277,39.7,15.8,277.1,1.58,1103.274559,0.83,1.18,131.6455696,16.3924268,81.5,3.572217266,1040,21900,1250
W40x249,39.4,15.8,249.9,1.42,994.9238579,0.75,1.18,117.2151899,16.32993162,73.5,3.54945622,926,19600,1120
W40x215,39,15.8,215.9,1.22,856.4102564,0.65,1.18,101.6455696,16.21703197,63.5,3.556074984,803,16700,964
W40x199,38.7,15.8,199.92,1.07,770.0258398,0.65,1.18,87.97468354,15.91858538,58.8,3.437983114,695,14900,869
W40x392,41.6,12.4,394.4,2.52,1437.5,1.42,1.18,129.516129,16.05486284,116,2.631048041,803,29900,1710
W40x331,40.8,12.2,332.18,2.13,1210.784314,1.22,1.18,105.5737705,15.90014902,97.7,2.567412503,644,24700,1430
W40x327,40.8,12.1,326.06,2.13,1200.980392,1.18,1.18,105.785124,15.9835682,95.9,2.583334735,640,24500,1410
W40x294,40.4,12,293.08,1.93,1084.158416,1.06,1.18,93.66666667,15.9392699,86.2,2.553374547,562,21900,1270
W40x278,40.2,12,279.82,1.81,1019.900498,1.03,1.18,86.83333333,15.78254415,82.3,2.516048127,521,20500,1190
W40x264,40,11.9,263.16,1.73,970,0.96,1.18,82.85714286,15.83180327,77.4,2.523788629,493,19400,1130
W40x235,39.7,11.9,234.94,1.58,876.5743073,0.83,1.18,74.62184874,15.86848993,69.1,2.534851146,444,17400,1010
W40x211,39.4,11.8,211.14,1.42,786.8020305,0.75,1.18,66.10169492,15.79865259,62.1,2.506031372,390,15500,906
W40x183,39,11.8,181.22,1.2,676.9230769,0.65,1.18,56.10169492,15.73705132,53.3,2.49201351,331,13200,774
